CLASE DE SITIO,BASE DE COCA,BASUCO,COCAINA,HEROINA,MARIHUANA
AEROPUERTO,20855.0,,,1600.0,45069.0
ALTAMAR,,,14940000.0,1000.0,
BODEGAS Y SIMILARES,,,,,356.0
BOSQUES,,,,,719.0
CARRETERA,419887.0,27379.0,553095.0,609.0,10000939.0
CASAS DE HABITACION,4758.0,11075.0,79.0,,502269.0
CONSTRUCCION,,,,,545000.0
EMPRESA,,,171700.0,7200.0,
FINCAS Y SIMILARES,,,,,150000.0
LABORATORIO DE BASE,2543242.0,,,,
LABORATORIO DE CRISTALIZACION,776717.0,,5579765.0,,
LOTE BALDIO,,19000.0,,,
MUELLE,,,5300240.0,,
OFICINAS,,,,,788000.0
PARQUEADERO,,,,,250000.0
PARQUES,,7.0,,,
PEAJE,,,,1152.0,
PUERTO,,,3053910.0,,
PUESTO DE CONTROL,158300.0,15100.0,420.0,,4223872.0
RIOS,,7300.0,429320.0,,
TALLERES MECANICA,,,100000.0,,
TRAMO DE VIA,136062.0,23825.0,706067.0,3011.0,4467772.0
VIAS PUBLICAS,634340.0,143587.0,11374940.0,57527.0,4577259.0
ZONA SELVÁTICA,392000.0,17000.0,,,1153640.0
