DEPARTAMENTO,BASE DE COCA,BASUCO,COCAINA,HEROINA,MARIHUANA
AMAZONAS,1.0,2.0,3.0,,2.0
ANTIOQUIA,5.0,835.0,1.0,1.0,15.0
ARAUCA,2.0,1.0,2.0,2.0,7.0
ATLÁNTICO,60.0,22.0,1.0,2.0,32.0
BOLÍVAR,41.0,3.0,16.0,,1.0
BOYACÁ,2.0,1.0,1.0,,6.0
CALDAS,2.0,81.0,1.0,1.0,6.0
CAQUETÁ,2.0,2.0,5.0,,2.0
CASANARE,3.0,3.0,1.0,,15.0
CAUCA,2.0,2.0,2.0,1.0,35.0
CESAR,22.0,16.0,6.0,3.0,1.0
CHOCÓ,1.0,1.0,1.0,,4.0
CUNDINAMARCA,105.0,185.0,89.0,1.0,1.0
CÓRDOBA,1.0,1.0,2.0,,28.0
GUAINÍA,1.0,1.0,1.0,,2.0
GUAJIRA,1.0,4.0,3.0,1.0,7.0
GUAVIARE,3.0,1.0,1.0,,7.0
HUILA,2.0,2.0,1.0,,50.0
MAGDALENA,2.0,6.0,16.0,1.0,1.0
META,4.0,3.0,2.0,1.0,34.0
NARIÑO,1.0,1.0,10.0,2.0,6.0
NORTE DE SANTANDER,2.0,1.0,3.0,9.0,7.0
PUTUMAYO,13.0,1.0,1.0,,8.0
QUINDÍO,1.0,3.0,1.0,1.0,8.0
RISARALDA,1.0,2.0,1.0,1.0,10.0
SAN ANDRÉS,1.0,1.0,1.0,,3.0
SANTANDER,29.0,3.0,3.0,,6.0
SUCRE,31.0,11.0,15.0,,1.0
TOLIMA,4.0,37.0,2.0,3.0,4.0
VALLE,9.0,92.0,4.0,11.0,42.0
VAUPÉS,1.0,1.0,3.0,,1.0
VICHADA,5.0,1.0,1.0,,3.0
